Sl. No.,State/UT,Name of City,During 2015-16,During 2016-17,During 2017-18,During 2018-19,During 2019-20,Total Central Release,Utilisation of GOI Funds
1,Andhra Pradesh,Visakhapatnam,188,8,0,98,5.2,299.2,278.5
1,Andhra Pradesh,Tirupati,2,92,102,0,0,196,178.13
1,Andhra Pradesh,Kakinada,190,6,0,98,98,392,290.98
1,Andhra Pradesh,Amaravati,0,0,18,372,106,496,472.9
2,Andaman & Nicobar Islands,Port Blair,0,194,2,0,0,196,11.38
3,Arunachal Pradesh,Pasighat,2,0,18,40,0,60,13.02
3,Arunachal Pradesh,Itanagar,0,0,0,58,0,58,20.47
4,Assam,Guwahati,2,189,5,0,0,196,33.18
5,Bihar,Muzaffarpur,2,0,17,41,0,60,5.92
5,Bihar,Bhagalpur,2,63,131,0,0,196,11.08
5,Bihar,Biharsharif,2,0,0,58,0,60,5
5,Bihar,Patna,0,0,18,176,0,194,87.82
6,Chandigarh,Chandigarh,2,71,123,0,0,196,32.29
7,Chhattisgarh,Raipur,2,94.5,99.5,0,0,196,80.83
7,Chhattisgarh,Bilaspur,2,0,18,38,0,58,10.93
7,Chhattisgarh,Atal Nagar,0,0,18,104,0,122,31.34
8,Daman & Diu,Diu,0,0,0,110,0,110,1.71
9,Dadar & Nagar Haveli,Silvassa,0,2,0,102,0,104,0.18
10,Delhi,NDMC,2,194,0,0,0,196,118.94
11,Goa,Panaji,2,0,110.2,83.8,0,196,105.17
12,Gujarat,Gandhinagar,2,0,18,90,86,196,67.85
12,Gujarat,Ahmedabad,2,194,0,98,0,294,260
12,Gujarat,Surat,2,194,0,98,204,498,387.26
12,Gujarat,Vadodara,2,0,109,85,0,196,140.68
12,Gujarat,Rajkot,2,0,19,175,0,196,86.59
12,Gujarat,Dahod,2,0,17,167,10,196,46.57
13,Haryana,Karnal,2,0,17,41,0,60,3.13
13,Haryana,Faridabad,2,92,102,0,0,196,137.88
14,Himachal Pradesh,Dharamshala,2,188,6,0,0,196,59.43
14,Himachal Pradesh,Shimla,0,0,18,40,0,58,1.88
15,Jharkhand,Ranchi,2,92,102,0,98,294,196
16,Jammu & Kashmir,Jammu/Srinagar,0,2,0,0,0,2,2
16,Jammu & Kashmir,Srinagar,0,0,18,40,0,58,12.94
16,Jammu & Kashmir,Jammu,0,0,18,40,0,58,15
17,Karnataka,Mangaluru,2,0,109,6,79,196,36.07
17,Karnataka,Belagavi,2,194,0,0,0,196,102.03
17,Karnataka,Shivamogga,2,0,109,85,0,196,58.53
17,Karnataka,Hubballi-Dharwad,2,0,109,85,8,204,50.38
17,Karnataka,Tumakuru,2,0,109,85,0,196,139.44
17,Karnataka,Davanagere,2,194,0,0,0,196,120.38
17,Karnataka,Bengaluru,0,0,0,58,136,194,7.45
18,Kerala,Kochi,2,194,0,0,1.51,197.5,33.23
18,Kerala,Thiruvananthapuram,0,0,18,176,0,194,4.5
19,Lakshadweep,Kavaratti,2,0,0,58,0,60,0.96
20,Madhya Pradesh,Bhopal,188,8,0,98,196,490,392
20,Madhya Pradesh,Indore,188,8,0,0,196,392,293.02
20,Madhya Pradesh,Jabalpur,2,194,0,0,98,294,294
20,Madhya Pradesh,Gwalior,2,92,102,0,0,196,68.21
20,Madhya Pradesh,Sagar,2,0,18,65,0,85,19.36
20,Madhya Pradesh,Satna,2,0,18,176,0,196,19.11
20,Madhya Pradesh,Ujjain,2,92,102,0,106,302,190.13
21,Maharashtra,Pimpri-Chinchwad,2,0,18,176,0,196,63.93
21,Maharashtra,Nashik,2,92,102,0,0,196,35.28
21,Maharashtra,Thane,2,62,132,0,0,196,91.18
21,Maharashtra,Greater Mumbai,2,0,0,0,0,2,2
21,Maharashtra,Amravati,2,0,0,0,0,2,2
21,Maharashtra,Solapur,2,194,0,0,0,196,88.64
21,Maharashtra,Nagpur,2,92,102,0,0,196,196
21,Maharashtra,Kalyan-Dombivali,2,92,102,0,0,196,14.07
21,Maharashtra,Aurangabad,2,92,102,0,0,196,64.8
21,Maharashtra,Pune,2,194,0,0,98,294,196
22,Manipur,Imphal,2,0,109,6,79,196,26.07
23,Meghalaya,Shillong,2,0,0,53,0,55,1.21
24,Mizoram,Aizawl,2,0,0,58,0,60,3.93
25,Nagaland,Kohima,2,0,109,6,79,196,78.38
26,Odisha,Bhubaneshwar,190,6,0,0,105.93,301.9,294
26,Odisha,Rourkela,2,0,188,6,0,196,28.71
27,Puducherry,Puducherry,2,0,98,3,0,103,5.8
28,Punjab,Ludhiana,2,194,0,0,0,196,99.3
28,Punjab,Jalandhar,2,0,27,31,0,60,14.35
28,Punjab,Amritsar,2,0,27,31,8,68,16.79
29,Rajasthan,Jaipur,188,8,0,0,0,196,130.43
29,Rajasthan,Udaipur,161.2,34.8,0,0,0,196,228.21
29,Rajasthan,Kota,2,91,103,0,0,196,76.78
29,Rajasthan,Ajmer,2,92,102,0,0,196,119.54
30,Sikkim,Namchi,2,0,109,85,0,196,196
30,Sikkim,Gangtok,0,0,17,177,0,194,67.65
31,Tamil Nadu,Tiruchirappalli,2,0,18,176,0,196,59.05
31,Tamil Nadu,Tirunelveli,2,0,18,176,0,196,96.63
31,Tamil Nadu,Dindigul,2,0,0,0,0,2,2
31,Tamil Nadu,Thanjavur,2,0,109,85,0,196,112.94
31,Tamil Nadu,Tiruppur,2,0,18,176,0,196,145.2
31,Tamil Nadu,Salem,2,0,109,85,0,196,104.34
31,Tamil Nadu,Vellore,2,0,109,85,0,196,90.61
31,Tamil Nadu,Coimbatore,2,188,6,0,0,196,196
31,Tamil Nadu,Madurai,2,0,109,85,0,196,149.62
31,Tamil Nadu,Erode,2,0,0,194,0,196,88.96
31,Tamil Nadu,Thoothukudi,2,0,18,176,0,196,44.25
31,Tamil Nadu,Chennai,2,188,6,0,7.62,203.6,189.7
32,Telangana,Karimnagar,2,0,18,40,136,196,5.81
32,Telangana,Greater Warangal,2,92,0,6,96,196,27.79
33,Tripura,Agartala,2,63,131,0,5.1,201.1,69.93
34,Uttar Pradesh,Moradabad,2,0,0,58,0,60,1.18
34,Uttar Pradesh,Aligarh,2,0,19,89,86,196,73.9
34,Uttar Pradesh,Saharanpur,2,0,17,41,0,60,0.81
34,Uttar Pradesh,Bareilly,2,0,0,58,0,60,2.83
34,Uttar Pradesh,Jhansi,2,0,36,22,0,60,4.66
34,Uttar Pradesh,Kanpur,2,0,109,85,0,196,187.41
34,Uttar Pradesh,Prayagraj,2,0,19,175,0,196,160.76
34,Uttar Pradesh,Lucknow,2,66.2,127.8,0,0,196,121.11
34,Uttar Pradesh,Varanasi,2,0,109,85,0,196,120.5
34,Uttar Pradesh,Ghaziabad,2,0,0,0,0,2,2
34,Uttar Pradesh,Agra,2,0,109,85,0,196,136.97
34,Uttar Pradesh,Rampur,2,0,0,0,0,2,2
34,Uttar Pradesh,Meerut/Raebareli,0,0,2,0,0,2,2
35,Uttarakhand,Dehradun,2,0,18,40,140.64,200.6,92.09
36,West Bengal,New Town Kolkata,2,0,0,58,0,60,23.21
36,West Bengal,Bidhannagar,2,0,0,0,0,2,2
36,West Bengal,Durgapur,2,0,0,0,0,2,2
36,West Bengal,Haldia,2,0,0,0,0,2,2
37,Punjab,Sultanpur Lodhi,NA,NA,NA,NA,27.1,27.1,0
Total,Total,Total,1469.2,4492.5,4499.5,5856.8,2296.1,18614.1,9497.09
